t,P_a
827.0,76.1133294076
828.0,76.3637287279
829.0,76.2747694383
830.0,76.3293290077
831.0,76.3349574534
832.0,76.3972701824
833.0,76.2756537864
834.0,76.3489558395
835.0,76.2794229025
836.0,76.2954324719
837.0,76.3255651863
838.0,76.5680312228
839.0,76.5114204953
840.0,76.4285214475
841.0,76.4887535051
842.0,76.5843546063
843.0,76.6457990003
844.0,76.7857010971
845.0,76.7847314518
846.0,77.0972814889
847.0,76.8694733032
848.0,76.8788550772
849.0,76.9364922915
850.0,76.7766291633
851.0,76.85060671
852.0,76.8571107286
853.0,77.0641475514
854.0,77.2213479191
855.0,77.0456535862
856.0,77.1034141669
857.0,77.4374764659
858.0,77.2786307401
859.0,77.3746510098
860.0,77.3829789554
861.0,77.3537537876
862.0,77.4579528133
863.0,77.4835604755
864.0,77.5522712025
865.0,77.7585317819
866.0,77.8242152992
867.0,77.6838665219
868.0,77.6655448222
869.0,77.6728209126
870.0,77.7762384861
871.0,77.735431722
872.0,77.7500618651
873.0,77.8626187098
874.0,77.7874837581
875.0,77.7162367091
876.0,77.7687942732
877.0,77.8246423301
878.0,77.9466002278
879.0,78.0185809607
880.0,77.9684559734
881.0,77.9270615044
882.0,77.7968266852
883.0,77.6296103133
884.0,77.8408759033
885.0,77.7048034647
886.0,77.8354199171
887.0,77.7929634492
888.0,77.9324414905
889.0,77.6422061245
890.0,77.8950888772
891.0,77.8116932462
892.0,77.7098048114
893.0,77.8790543833
894.0,78.1908738465
895.0,78.0591583819
896.0,77.9727882873
897.0,77.8935474842
898.0,78.0550978206
899.0,78.0898217604
900.0,78.0836229256
901.0,78.1955099922
902.0,78.4655344736
903.0,78.3761182116
904.0,78.0813255307
905.0,78.2736075945
906.0,78.3005150758
907.0,78.3710713415
908.0,78.2855302067
909.0,78.4399952971
910.0,78.3131200915
911.0,78.4149781454
912.0,78.3975355208
913.0,78.6221708309
914.0,78.4471339704
915.0,78.3892057534
916.0,78.5615853462
917.0,78.6053969
918.0,78.5419129529
919.0,78.6418729342
920.0,78.8315637142
921.0,78.6984893204
922.0,78.738352009
923.0,78.7971066775
924.0,78.7499042535
925.0,78.9290368373
926.0,78.9170960299
927.0,78.878694175
928.0,79.1461214685
929.0,79.1800234442
930.0,79.0403790245
931.0,79.0411455453
932.0,79.0045298105
933.0,78.9989817938
934.0,79.2705623341
935.0,79.2136213076
936.0,79.4917965092
937.0,79.7746666298
938.0,79.6727566761
939.0,79.819246877
940.0,80.0832181297
941.0,79.7909422621
942.0,79.917685003
943.0,79.9816868329
944.0,80.0704113585
945.0,79.8825070002
946.0,80.2388866716
947.0,80.0230753229
948.0,80.2581041789
949.0,80.1993956505
950.0,80.4668069854
951.0,80.668413098
952.0,80.2855850835
953.0,80.4587088901
954.0,80.2337420207
955.0,80.3319511739
956.0,80.4672837562
957.0,80.4614805527
958.0,80.4219102486
959.0,80.3778699607
960.0,80.4634599108
961.0,80.494565764
962.0,80.5483496163
963.0,80.6208666658
964.0,80.6651241713
965.0,80.7216876662
966.0,80.747947245
967.0,80.9536368619
968.0,80.9272410359
969.0,81.0591996919
970.0,81.3851166831
971.0,81.2370568604
972.0,81.3466108718
973.0,81.4809663363
974.0,81.5617043121
975.0,81.5208801956
976.0,81.3483911951
977.0,81.3704485174
978.0,81.4218073218
979.0,81.2184029757
980.0,81.229129817
981.0,81.3344751748
982.0,81.3234780503
983.0,81.5741187773
984.0,81.5381785975
985.0,81.5910588423
986.0,81.3453679556
987.0,81.3692841069
988.0,81.7196575238
989.0,81.6314930329
990.0,81.7927979794
991.0,81.93028038
992.0,81.8527373059
993.0,82.035402984
994.0,82.4230929766
995.0,82.335634601
996.0,82.3370986429
997.0,82.639113992
998.0,82.4860354627
999.0,82.37422144
1000.0,82.695671431
1001.0,82.632286717
1002.0,82.8057802262
1003.0,82.8755457331
1004.0,82.7599638546
1005.0,82.6740341114
1006.0,82.8992393568
1007.0,82.9957568743
1008.0,83.2471601122
1009.0,83.193442196
1010.0,83.2679668717
1011.0,83.3611532624
1012.0,83.5137286608
1013.0,83.5452045504
1014.0,83.461085455
1015.0,83.547277956
1016.0,83.6783994812
1017.0,83.8158941199
1018.0,83.7331253204
1019.0,83.9454917017
1020.0,83.9520154189
1021.0,84.1158360446
1022.0,84.2355780966
1023.0,84.6126672902
1024.0,84.6636965766
1025.0,84.5839186132
1026.0,84.7893039012
1027.0,84.8294827397
1028.0,85.0514171583
1029.0,84.9703415492
1030.0,84.9714695794
1031.0,85.0183451548
1032.0,85.1957797529
1033.0,85.0748157478
1034.0,84.874806652
1035.0,85.1494801833
1036.0,85.1441766907
1037.0,85.1784535138
1038.0,85.1275198818
1039.0,85.1977919259
1040.0,85.2022668026
1041.0,85.3096583502
1042.0,85.3402807868
1043.0,85.0929760045
1044.0,85.1828461785
1045.0,85.2317775573
1046.0,85.3729296171
1047.0,85.4832323255
1048.0,85.6348860103
1049.0,85.7182540912
1050.0,85.6450688561
1051.0,85.5184556498
1052.0,85.3415288266
1053.0,85.3187329185
1054.0,85.3244355369
1055.0,85.4204323108
1056.0,85.3759256662
1057.0,85.1211299825
1058.0,85.1300553663
1059.0,85.2768694234
1060.0,85.5234636887
1061.0,85.4214087524
1062.0,85.6890649548
1063.0,85.8143157632
1064.0,85.5727983069
1065.0,85.5111316232
1066.0,85.405659805
1067.0,85.5468590528
1068.0,85.6582526619
1069.0,85.5285754538
1070.0,85.9250977471
1071.0,85.8504687311
1072.0,86.1142413082
1073.0,85.9161118081
1074.0,86.1760907213
1075.0,86.1784166403
1076.0,86.4041004182
1077.0,86.3155925603
1078.0,86.2642034358
1079.0,86.4090383494
1080.0,86.0786152186
1081.0,86.2126182737
1082.0,85.9814969028
1083.0,86.2948724661
1084.0,86.2678853693
1085.0,94.8441583287
1086.0,95.1487286002
1087.0,95.2437739243
1088.0,95.1836629096
1089.0,95.2228169269
1090.0,95.2485536433
1091.0,95.1861633837
1092.0,95.3312725357
1093.0,95.4705804451
1094.0,95.4519814529
1095.0,95.4263229614
1096.0,95.5848778616
1097.0,95.7239023398
1098.0,95.6918551818
1099.0,95.5303015896
1100.0,95.5257083827
1101.0,95.6818833401
1102.0,95.6602542798
1103.0,95.613229446
1104.0,95.7521685453
1105.0,95.6150232247
1106.0,95.7082510122
1107.0,95.7456582239
1108.0,95.8629745619
1109.0,95.7312285492
1110.0,95.9213196774
1111.0,95.9096598443
1112.0,95.9146470353
1113.0,95.9485267403
1114.0,95.9821760478
1115.0,96.2802647486
1116.0,96.3133175767
1117.0,96.3608518588
1118.0,96.4700460614
1119.0,96.2624912561
1120.0,96.6069444305
1121.0,96.4407518967
1122.0,96.5183335291
1123.0,96.7350036514
1124.0,96.7946243683
1125.0,96.5362049256
1126.0,96.8141605358
1127.0,96.8373811596
1128.0,96.7839860934
1129.0,96.8975789273
1130.0,96.8479063685
1131.0,96.8126387906
1132.0,96.9523804443
1133.0,96.9171145524
1134.0,97.120745555
1135.0,97.1022363722
1136.0,97.0689026842
1137.0,97.0137305171
1138.0,96.9119824554
1139.0,96.9490216383
1140.0,96.7716244963
1141.0,97.0117619034
1142.0,96.95176975
1143.0,97.1017196352
1144.0,97.0330785071
1145.0,97.0132106211
1146.0,97.0741924603
1147.0,97.1616214108
1148.0,97.1577592441
1149.0,97.1684888207
1150.0,97.3916985859
1151.0,97.5003934287
1152.0,97.5955201889
1153.0,97.4586013884
1154.0,97.4367744197
1155.0,97.4997867739
1156.0,97.4362891961
1157.0,97.6099535103
1158.0,97.8089258843
1159.0,97.8425273668
1160.0,98.0452915489
1161.0,97.8578216951
1162.0,97.524756213
1163.0,97.8027280278
1164.0,97.7752988435
1165.0,97.7434627251
1166.0,97.8527905256
1167.0,98.045266369
1168.0,98.0774972696
1169.0,98.0580096961
1170.0,98.1999977673
1171.0,98.2427758041
1172.0,98.4576570574
1173.0,98.5630999586
1174.0,98.4624555388
1175.0,98.5728700908
1176.0,98.6692721914
1177.0,98.7189494657
1178.0,98.5084064412
1179.0,98.8403121104
1180.0,98.5595133154
1181.0,98.7006536247
1182.0,98.576533106
1183.0,98.5948706116
1184.0,98.5915798992
1185.0,98.7262710857
1186.0,98.5755765238
1187.0,98.5762393563
1188.0,98.6578018044
1189.0,98.5212992732
1190.0,98.4729050845
1191.0,98.5846150603
1192.0,98.7445425134
1193.0,98.5354424793
1194.0,98.8230312148
1195.0,98.6132483291
1196.0,98.6132967787
1197.0,98.766109058
1198.0,98.7758804203
1199.0,98.5917988707
1200.0,98.9007071906
1201.0,98.9235026328
1202.0,98.8236306829
1203.0,98.9511721644
1204.0,98.8724513496
1205.0,98.7849780659
1206.0,98.7712809829
1207.0,98.9842381702
1208.0,98.9705439341
1209.0,98.8536151958
1210.0,98.8536270975
1211.0,98.7937932815
1212.0,98.6621833309
1213.0,98.5851895034
1214.0,98.8535497425
1215.0,98.8589849425
1216.0,98.7804298166
1217.0,98.8830415642
1218.0,98.7488073889
1219.0,98.6682024503
1220.0,98.9001799348
1221.0,98.8280657951
1222.0,98.6366946342
1223.0,98.8090986914
1224.0,98.9675303168
1225.0,98.7999576772
1226.0,98.8270453426
1227.0,98.8303223566
1228.0,98.8581917379
1229.0,98.8489619518
1230.0,98.9693367144
1231.0,98.8378927422
1232.0,98.8192619977
1233.0,99.1260670874
1234.0,99.0409035141
1235.0,99.1865207639
1236.0,99.2614470765
1237.0,99.0839822353
1238.0,98.9382741798
1239.0,98.8051479424
1240.0,98.9592119926
1241.0,98.8054895719
1242.0,98.9923933272
1243.0,98.8758946308
1244.0,98.7505966599
1245.0,98.8807697055
1246.0,98.7228359795
1247.0,98.5950134613
1248.0,98.3555742571
1249.0,98.5587668652
1250.0,98.7484615907
1251.0,98.665048884
1252.0,98.4997220753
1253.0,98.4880569741
1254.0,98.5097086981
1255.0,98.491909477
1256.0,98.5088715349
1257.0,98.3427711764
1258.0,98.1712471552
1259.0,98.285750264
1260.0,98.2018037516
1261.0,98.3608529516
1262.0,98.4890512603
1263.0,98.5707236507
1264.0,98.6785480528
1265.0,98.7567874045
1266.0,98.8435238726
1267.0,98.7177604034
1268.0,98.7863758564
1269.0,98.8593062302
1270.0,98.7562116136
1271.0,98.7892641613
1272.0,98.9295443399
1273.0,98.797092371
1274.0,98.4892924052
1275.0,98.5554004105
1276.0,98.4460449642
1277.0,98.5192694803
1278.0,98.5921527192
