P_a,CCO,t,SaO2sup,Vmca,Pa_CO2,ii
90.49496418,-0.7017975885794571,611.2,0.9929013666,74.28359479181435,50.5366410840125,611
91.65816303,-0.6971998426214742,614.4,0.9909984286,75.72121258182474,49.931091041527,611
90.84149175,-0.7160496023988934,617.6,0.9899614247,73.82084935539922,48.8637708238732,611
88.0292208,-0.7411852090147847,620.8,0.990745208,70.56384120714989,48.228467843914,611
86.88316869,-0.7366561102011295,624.0,0.991975913,70.55799643066392,48.4258984845386,611
88.27008768,-0.7149192060805527,627.2,0.9919161621,73.07406461659252,48.6622686683262,611
88.60133404,-0.719722668107376,630.4,0.9907326335,73.00745633677744,48.0411414344624,611
85.78024234,-0.7560044244491476,633.6,0.9898744275,69.2758927519353,47.0248957681961,611
83.03799757,-0.7756469422497849,636.8,0.989870154,67.26327328296665,46.9564484452262,611
84.30707074,-0.7439521161103597,640.0,0.9898996946,70.60569200592093,47.9950386820546,611
88.09908355,-0.7056898756019365,643.2,0.989304701,75.41670161748542,48.5647294972638,611
89.32921316,-0.7130571314795376,646.4,0.9884645826,74.83468849478638,47.363269460282,611
86.65833969,-0.7670575177214332,649.6,0.9880316541,68.7635192376305,44.957055917898,611
84.74946454,-0.8130194964178057,652.8,0.9880183086,64.22238147179239,42.8197789257076,611
88.13966617,-0.8004584121233859,656.0,0.9880185484,65.29060615008635,41.7156957164338,611
95.01596328,-0.7721856555627159,659.2,0.9880335832,67.95171829876497,41.6053296127292,611
99.17802808,-0.7832480775846994,662.4,0.9885812677,66.62302727576358,42.3212030804087,611
97.64835114,-0.820214834621356,665.6,0.9897848931,62.968057391506285,43.5942679600976,611
93.77061919,-0.8307933418035717,668.8,0.9907551464,61.929040333570846,44.7508543032739,611
91.85160406,-0.8078577150943599,672.0,0.990499755,64.01538916321893,45.1027116895271,611
91.71741792,-0.789207227943919,675.2,0.9893271504,66.11205627756532,44.7514317157718,611
90.83302446,-0.791705554842221,678.4,0.9885719215,66.13145849648498,44.3847270531831,611
88.88686193,-0.8020445563083296,681.6,0.9888159036,65.06852008062741,44.113949964087,611
87.17548803,-0.8113051329079204,684.8,0.9891863124,64.06069005932072,43.4213390599837,611
85.56436546,-0.8277510789304573,688.0,0.9887804546,62.71547895248799,42.4844633326806,611
82.92668935,-0.8501745640558706,691.2,0.9880939568,61.08432065107563,42.2682510645812,611
79.41736726,-0.8627300031998881,694.4,0.9883645099,60.03614228286172,42.8508623526271,611
76.57223064,-0.8604111659805038,697.6,0.9897818782,59.75981196439908,43.028901543113,611
76.08160915,-0.843788065093867,700.8,0.9910715864,60.60474355314007,42.1775067249609,611
79.13506343,-0.8081448069747452,704.0,0.9910133083,63.576354575860755,41.2177806079871,611
85.48289368,-0.7629289950685527,707.2,0.9899082416,68.29130745777972,41.1236126417397,611
92.46870937,-0.7365054487164333,710.4,0.9892041144,71.40948649050878,41.6423760301638,611
96.6523309,-0.7477146498317214,713.6,0.9898068012,69.86878953232181,42.0927198929047,611
97.2269226,-0.7859354231660048,716.8,0.991012463,65.5467141128257,42.3705325232437,611
96.37553372,-0.8193890425758479,720.0,0.9911913209,62.53295085653503,42.5590445777263,611
95.90394173,-0.8387363642009461,723.2,0.9895714043,61.459892403446304,42.4057961040223,611
95.38034591,-0.8619070408862176,726.4,0.9873007111,60.2978707109251,41.774218680527,611
93.8274183,-0.8910832712878746,729.6,0.9864262061,58.34752089595076,41.047853192275,611
91.31970626,-0.9081370008608827,732.8,0.9876734558,56.81212644712851,40.6625329133676,611
88.65461681,-0.9043626050504043,736.0,0.9897131936,56.539982241407266,40.5907663798597,611
86.57699298,-0.8894781680027993,739.2,0.9909421976,57.235255257099325,40.5413729567617,611
85.02040545,-0.8764796267257781,742.4,0.9913393191,58.04016331474429,40.4307258649431,611
83.09098727,-0.8715058517245571,745.6,0.9919443314,58.22944661823993,40.4470418745964,611
81.12955777,-0.8627685367918794,748.8,0.9930840628,58.548106294061036,40.7154384853746,611
81.73741177,-0.8268198064090241,752.0,0.9939602636,61.060954852198066,41.0712994084584,611
86.09613731,-0.775341786623012,755.2,0.9938209555,65.60457296070865,41.2664082630931,611
90.67144612,-0.756379506487517,758.4,0.9929380598,67.75608832463445,41.2903241154087,611
91.07764091,-0.7892589363120548,761.6,0.992250279,64.82199808689602,41.2921915140207,611
88.17642171,-0.8383852666624511,764.8,0.9920241519,60.72343245541515,41.2610429367419,611
86.89841048,-0.8498647957058547,768.0,0.9911644674,60.08563775275338,41.0514897614188,611
89.57418495,-0.828782405072266,771.2,0.9887241605,62.52776328056212,40.7042451121088,611
93.53044035,-0.8219772883904763,774.4,0.9860646708,63.95925758859112,40.4626231013065,611
95.37888241,-0.8424456569643783,777.6,0.9858888893,62.2238322256483,40.4431605078156,611
94.99512904,-0.8664486489851578,780.8,0.9885751842,59.47769770751855,40.5159356792938,611
94.35374681,-0.8736589735913567,784.0,0.9912910456,58.157789856522335,40.535462425562,611
